YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201406,86763,526934,3,0.25,N,SAUGERTIES SOUTH,42.0736,-73.9493,42.4416,-73.56958
201406,86763,526934,4,0.12,SSW,SAUGERTIES,42.0785,-73.9513,42.471,-73.57078
201406,86763,526935,1,0.48,WNW,MECHANICVILLE,42.9019,-73.6892,42.54114,-73.41352
201406,86763,526935,2,0.47,WNW,MECHANICVILLE,42.9016,-73.689,42.54096,-73.4134
201406,86763,526935,3,0.46,WNW,MECHANICVILLE,42.9019,-73.6887,42.54114,-73.41322
201406,86763,526935,4,0.47,WNW,MECHANICVILLE,42.902,-73.689,42.5412,-73.4134
201406,86763,527240,1,0.54,SE,GREEN RIVER,42.2639,-73.4735,42.15834,-73.2841
201406,86763,527248,1,0.27,WNW,BRICK TAVERN,42.2715,-73.725,42.1629,-73.435
201406,86763,527248,2,0.39,WSW,BRICK TAVERN,42.2684,-73.7274,42.16104,-73.43644
201406,86763,527248,3,0.17,SW,BRICK TAVERN,42.2682,-73.7221,42.16092,-73.43326
201406,86763,527248,4,0.14,NW,BRICK TAVERN,42.2713,-73.722,42.16278,-73.4332
201406,86763,527250,1,0.47,NE,HARLEMVILLE,42.2742,-73.5928,42.16452,-73.35568
201406,86763,527250,2,0.39,ENE,HARLEMVILLE,42.2731,-73.5937,42.16386,-73.35622
201406,86763,527250,3,0.36,NE,HARLEMVILLE,42.2741,-73.5957,42.16446,-73.35742
201406,86763,527250,4,0.44,NE,HARLEMVILLE,42.275,-73.5946,42.165,-73.35676
201406,86763,527254,1,0.61,SSW,COLUMBIAVILLE,42.3119,-73.7549,42.18714,-73.45294
201406,86763,527254,2,0.52,SSW,COLUMBIAVILLE,42.3126,-73.7521,42.18756,-73.45126
201406,86763,527254,3,0.7,S,COLUMBIAVILLE,42.3099,-73.7519,42.18594,-73.45114
201406,86763,527254,4,0.73,SSW,COLUMBIAVILLE,42.3102,-73.7551,42.18612,-73.45306
201406,86763,527258,1,0.59,NNE,GHENT,42.3282,-73.6168,42.19692,-73.37008
201406,86763,527260,1,0.76,NNW,WESTGHENT,42.3306,-73.7043,42.19836,-73.42258
201406,86763,527262,1,1.27,WSW,HUDSON,42.2453,-73.804,42.14718,-73.4824
201406,86763,527262,3,1.3,WSW,HUDSON,42.2428,-73.8034,42.14568,-73.48204
201406,86763,527262,4,1.38,WSW,HUDSON,42.2442,-73.8057,42.14652,-73.48342
201406,87312,526942,1,0.81,N,STEVENS CORNER,42.4116,-73.3311,42.24696,-73.19866
201406,87312,526942,2,0.79,N,STEVENS CORNER,42.4113,-73.3319,42.24678,-73.19914
201406,87312,526942,3,0.75,N,STEVENS CORNER,42.4108,-73.3308,42.24648,-73.19848
201406,87312,526942,4,0.76,N,STEVENS CORNER,42.411,-73.3305,42.2466,-73.1983
201406,87312,526943,1,0.59,ENE,GREAT BARRINGTON,42.2028,-73.3591,42.12168,-73.21546
201406,87312,526943,2,0.46,E,GREAT BARRINGTON,42.1993,-73.3611,42.11958,-73.21666
