yrmo,fips,year,month,st_abb,st_code,state,co_code,co_name,crop_name,crop_code,col_des,col_code,indemnity
201404,20001,2014,4,KS,20,KANSAS,1,ALLEN,CORN,41,WIND/EXCESS WIND,61,4952.0
201407,20005,2014,7,KS,20,KANSAS,5,ATCHISON,CORN,41,WIND/EXCESS WIND,61,2290.0
201407,20005,2014,7,KS,20,KANSAS,5,ATCHISON,CORN,41,WIND/EXCESS WIND,61,4936.0
201402,20007,2014,2,KS,20,KANSAS,7,BARBER,WHEAT,11,WIND/EXCESS WIND,61,1181.0
201402,20007,2014,2,KS,20,KANSAS,7,BARBER,WHEAT,11,WIND/EXCESS WIND,61,14769.0
201401,20007,2014,1,KS,20,KANSAS,7,BARBER,WHEAT,11,HOT WIND,62,943.0
201405,20007,2014,5,KS,20,KANSAS,7,BARBER,WHEAT,11,HOT WIND,62,7920.5
201404,20009,2014,4,KS,20,KANSAS,9,BARTON,WHEAT,11,WIND/EXCESS WIND,61,23571.0
201404,20009,2014,4,KS,20,KANSAS,9,BARTON,WHEAT,11,WIND/EXCESS WIND,61,3396.03
201405,20009,2014,5,KS,20,KANSAS,9,BARTON,WHEAT,11,WIND/EXCESS WIND,61,2652.0
201402,20009,2014,2,KS,20,KANSAS,9,BARTON,WHEAT,11,WIND/EXCESS WIND,61,11840.1
201406,20009,2014,6,KS,20,KANSAS,9,BARTON,WHEAT,11,HOT WIND,62,1768.0
201406,20009,2014,6,KS,20,KANSAS,9,BARTON,CORN,41,HOT WIND,62,1448.5
201409,20009,2014,9,KS,20,KANSAS,9,BARTON,GRAIN SORGHUM,51,WIND/EXCESS WIND,61,33796.0
201406,20009,2014,6,KS,20,KANSAS,9,BARTON,GRAIN SORGHUM,51,HOT WIND,62,3032.2
201409,20009,2014,9,KS,20,KANSAS,9,BARTON,SOYBEANS,81,HOT WIND,62,11043.45
201406,20013,2014,6,KS,20,KANSAS,13,BROWN,SOYBEANS,81,WIND/EXCESS WIND,61,4305.0
201406,20021,2014,6,KS,20,KANSAS,21,CHEROKEE,SOYBEANS,81,WIND/EXCESS WIND,61,2640.0
201406,20023,2014,6,KS,20,KANSAS,23,CHEYENNE,WHEAT,11,WIND/EXCESS WIND,61,12489.52
201403,20023,2014,3,KS,20,KANSAS,23,CHEYENNE,WHEAT,11,WIND/EXCESS WIND,61,874.5
201406,20023,2014,6,KS,20,KANSAS,23,CHEYENNE,WHEAT,11,WIND/EXCESS WIND,61,9209.25
201405,20023,2014,5,KS,20,KANSAS,23,CHEYENNE,WHEAT,11,HOT WIND,62,0.0
201407,20023,2014,7,KS,20,KANSAS,23,CHEYENNE,CORN,41,HOT WIND,62,6862.0
201408,20023,2014,8,KS,20,KANSAS,23,CHEYENNE,CORN,41,HOT WIND,62,6476.0
201407,20023,2014,7,KS,20,KANSAS,23,CHEYENNE,CORN,41,HOT WIND,62,5830.0
201404,20025,2014,4,KS,20,KANSAS,25,CLARK,WHEAT,11,WIND/EXCESS WIND,61,22699.5
201404,20025,2014,4,KS,20,KANSAS,25,CLARK,WHEAT,11,HOT WIND,62,1575.0
201404,20025,2014,4,KS,20,KANSAS,25,CLARK,WHEAT,11,HOT WIND,62,13006.5
201406,20025,2014,6,KS,20,KANSAS,25,CLARK,GRAIN SORGHUM,51,WIND/EXCESS WIND,61,7421.0
201408,20027,2014,8,KS,20,KANSAS,27,CLAY,SOYBEANS,81,HOT WIND,62,5490.0
201407,20029,2014,7,KS,20,KANSAS,29,CLOUD,CORN,41,HOT WIND,62,4131.0
201407,20029,2014,7,KS,20,KANSAS,29,CLOUD,CORN,41,HOT WIND,62,1932.0
201407,20029,2014,7,KS,20,KANSAS,29,CLOUD,CORN,41,HOT WIND,62,2787.0
201407,20029,2014,7,KS,20,KANSAS,29,CLOUD,CORN,41,HOT WIND,62,630.0
201401,20033,2014,1,KS,20,KANSAS,33,COMANCHE,WHEAT,11,WIND/EXCESS WIND,61,849.0
201401,20033,2014,1,KS,20,KANSAS,33,COMANCHE,WHEAT,11,WIND/EXCESS WIND,61,25092.5
201403,20033,2014,3,KS,20,KANSAS,33,COMANCHE,WHEAT,11,HOT WIND,62,26126.0
201404,20033,2014,4,KS,20,KANSAS,33,COMANCHE,WHEAT,11,HOT WIND,62,37604.5
201405,20033,2014,5,KS,20,KANSAS,33,COMANCHE,WHEAT,11,HOT WIND,62,16831.0
201407,20033,2014,7,KS,20,KANSAS,33,COMANCHE,SOYBEANS,81,WIND/EXCESS WIND,61,6518.0
201403,20039,2014,3,KS,20,KANSAS,39,DECATUR,WHEAT,11,WIND/EXCESS WIND,61,4166.8
201401,20039,2014,1,KS,20,KANSAS,39,DECATUR,WHEAT,11,WIND/EXCESS WIND,61,19641.0
201407,20039,2014,7,KS,20,KANSAS,39,DECATUR,CORN,41,HOT WIND,62,21.91
