Total 'indemnity' by 'year' and 'fips',,,
,,,
,year,fips,Sum of indemnity
,2014,20001,4952
,2014,20005,7226
,2014,20007,24813.5
,2014,20009,112336.28
,2014,20013,4305
,2014,20021,2640
,2014,20023,41741.27
,2014,20025,95840.5
,2014,20027,5490
,2014,20029,9480
,2014,20033,170305
,2014,20039,82717.71
,2014,20041,91337.1
,2014,20047,175789.59
,2014,20049,7188.8
,2014,20051,15143.7
,2014,20053,39720.1
,2014,20055,869853.83
,2014,20057,262392.2
,2014,20063,181349.18
,2014,20065,84952.33
,2014,20067,2118758.26
,2014,20069,669246.9
,2014,20071,237960.85
,2014,20073,1602
,2014,20075,1572105.72
,2014,20077,8246.9
,2014,20079,29618.8
,2014,20081,1552186.64
,2014,20083,92784.5
,2014,20089,28460
,2014,20093,1725293.36
,2014,20095,36902.2
,2014,20097,74704.2
,2014,20101,24933.8
,2014,20105,78620.23
,2014,20109,142206.1
,2014,20113,3502.2
,2014,20115,10459.55
,2014,20117,248897.5
,2014,20119,831034.23
,2014,20123,2503
,2014,20127,13832
,2014,20129,1677620.68
,2014,20131,83920.35
,2014,20135,83911.55
,2014,20137,49219.5
,2014,20139,3499.5
,2014,20141,50119.3
,2014,20143,3967
,2014,20145,65457.5
,2014,20147,29138.5
,2014,20151,132729.47
,2014,20153,323194.5
,2014,20155,70255.46
,2014,20157,4286
,2014,20159,96368.6
,2014,20161,30644
,2014,20163,119424
,2014,20165,36252.15
,2014,20167,80373.8
,2014,20171,592983.99
,2014,20173,65492.85
,2014,20175,373050.79
,2014,20177,565
,2014,20179,415878.2
,2014,20181,194876.8
,2014,20183,3839.5
,2014,20185,22966
,2014,20187,1406087.81
,2014,20189,1588654.52
,2014,20191,13681.5
,2014,20193,306071.34
,2014,20195,115875
,2014,20199,86239.4
,2014,20201,39451
,2014,20203,880590.77
,2014,20205,5037
,2014,31001,15760.35
,2014,31003,30875.75
,2014,31007,386891.62
,2014,31011,398.4
,2014,31013,107332.6
,2014,31019,501800.4
,2014,31021,5131.5
,2014,31027,637897.7
,2014,31029,65655.2
,2014,31031,8256
,2014,31033,1137667.02
,2014,31035,390491.1
,2014,31037,4690
,2014,31039,163632.3
,2014,31041,26648
,2014,31043,6050.7
,2014,31045,76421.5
,2014,31047,7420
,2014,31049,154239.5
,2014,31051,69799.74
,2014,31055,13768
,2014,31057,224635.34
,2014,31059,258098.15
,2014,31061,215526
,2014,31063,213762.34
,2014,31065,396124.45
,2014,31067,8809.1
,2014,31069,28264
,2014,31071,2373.55
,2014,31073,57312.3
,2014,31077,16848.5
,2014,31079,16058
,2014,31081,36268.05
,2014,31083,217126
,2014,31085,160301
,2014,31087,143526.2
,2014,31089,141.9
,2014,31093,1986
,2014,31095,41275
,2014,31097,13681
,2014,31099,289920.5
,2014,31101,127429.1
,2014,31105,451105.94
,2014,31107,289.5
,2014,31111,392489.6
,2014,31113,65966.4
,2014,31119,4943
,2014,31121,21483
,2014,31123,195035.13
,2014,31125,927.8
,2014,31127,183.5
,2014,31129,166849.75
,2014,31131,24035.63
,2014,31135,29225.25
,2014,31137,115855.6
,2014,31139,23718
,2014,31141,32380
,2014,31143,2106
,2014,31145,194306
,2014,31149,89218.5
,2014,31151,97924
,2014,31157,61058.3
,2014,31161,161994.1
,2014,31165,43057.4
,2014,31167,83449.5
,2014,31169,74067.6
,2014,31173,85952.16
,2014,31175,62335.03
,2014,31179,356378.4
,2014,31181,236571.11
,2015,20005,3227.2
,2015,20007,7662
,2015,20009,103536.25
,2015,20011,3786
,2015,20013,6267
,2015,20015,138030.75
,2015,20017,374
,2015,20023,9841.5
,2015,20025,18065.42
,2015,20033,4673.5
,2015,20035,7401
,2015,20039,31373.9
,2015,20043,22576
,2015,20047,166611
,2015,20051,36680.67
,2015,20053,3613.89
,2015,20055,67150
,2015,20057,29053.08
,2015,20063,65980.35
,2015,20065,127800.44
,2015,20067,241720.25
,2015,20069,36544.5
,2015,20071,89521.2
,2015,20075,351164.84
,2015,20077,7384.1
,2015,20079,13496.8
,2015,20081,233916.6
,2015,20083,55231.8
,2015,20089,116713.5
,2015,20093,214916.61
,2015,20095,15530.2
,2015,20097,16099.55
,2015,20101,8213.3
,2015,20103,1798.8
,2015,20105,2701.98
,2015,20109,5184.1
,2015,20111,27872
,2015,20115,55070.92
,2015,20117,29080.15
,2015,20119,13745
,2015,20121,2590
,2015,20123,4008.5
,2015,20129,969898.1
,2015,20131,94754.5
,2015,20135,81325.6
,2015,20137,490.5
,2015,20139,13208
,2015,20141,2798.95
,2015,20143,8669.05
,2015,20145,84433.05
,2015,20149,9787
,2015,20151,62114.7
,2015,20153,38242.36
,2015,20155,154973.97
,2015,20157,1649.6
,2015,20159,148030
,2015,20161,3336
,2015,20163,143853.2
,2015,20165,7358.08
,2015,20167,49968.3
,2015,20169,3806
,2015,20171,134182.62
,2015,20173,28708.87
,2015,20175,28889.3
,2015,20179,604969.13
,2015,20181,15115.1
,2015,20183,821.4
,2015,20185,125575.15
,2015,20187,330629.5
,2015,20189,110824
,2015,20191,50725.33
