YEAR,st_abb,st_code,co_code,FIPS,STATE,COUNTY,crop_name,col_code,col_des,indemnity
2014,KS,20,1,20001,KANSAS,ALLEN                         ,Corn,61,Wind/Excess Wind,4952
2014,KS,20,5,20005,KANSAS,ATCHISON                      ,Corn,61,Wind/Excess Wind,2290
2014,KS,20,5,20005,KANSAS,ATCHISON                      ,Corn,61,Wind/Excess Wind,4936
2014,KS,20,7,20007,KANSAS,BARBER                        ,Wheat,61,Wind/Excess Wind,1181
2014,KS,20,7,20007,KANSAS,BARBER                        ,Wheat,61,Wind/Excess Wind,14769
2014,KS,20,7,20007,KANSAS,BARBER                        ,Wheat,62,Hot Wind,943
2014,KS,20,7,20007,KANSAS,BARBER                        ,Wheat,62,Hot Wind,7920.5
2014,KS,20,9,20009,KANSAS,BARTON                        ,Wheat,61,Wind/Excess Wind,23571
2014,KS,20,9,20009,KANSAS,BARTON                        ,Wheat,61,Wind/Excess Wind,3396.03
2014,KS,20,9,20009,KANSAS,BARTON                        ,Wheat,61,Wind/Excess Wind,2652
2014,KS,20,9,20009,KANSAS,BARTON                        ,Wheat,61,Wind/Excess Wind,11840.1
2014,KS,20,9,20009,KANSAS,BARTON                        ,Wheat,62,Hot Wind,1768
2014,KS,20,9,20009,KANSAS,BARTON                        ,Corn,62,Hot Wind,1448.5
2014,KS,20,9,20009,KANSAS,BARTON                        ,Soybeans,62,Hot Wind,11043.45
2014,KS,20,13,20013,KANSAS,BROWN                         ,Soybeans,61,Wind/Excess Wind,4305
2014,KS,20,21,20021,KANSAS,CHEROKEE                      ,Soybeans,61,Wind/Excess Wind,2640
2014,KS,20,23,20023,KANSAS,CHEYENNE                      ,Wheat,61,Wind/Excess Wind,12489.52
2014,KS,20,23,20023,KANSAS,CHEYENNE                      ,Wheat,61,Wind/Excess Wind,874.5
2014,KS,20,23,20023,KANSAS,CHEYENNE                      ,Wheat,61,Wind/Excess Wind,9209.25
2014,KS,20,23,20023,KANSAS,CHEYENNE                      ,Wheat,62,Hot Wind,0
2014,KS,20,23,20023,KANSAS,CHEYENNE                      ,Corn,62,Hot Wind,6862
2014,KS,20,23,20023,KANSAS,CHEYENNE                      ,Corn,62,Hot Wind,6476
2014,KS,20,23,20023,KANSAS,CHEYENNE                      ,Corn,62,Hot Wind,5830
2014,KS,20,25,20025,KANSAS,CLARK                         ,Wheat,61,Wind/Excess Wind,22699.5
2014,KS,20,25,20025,KANSAS,CLARK                         ,Wheat,62,Hot Wind,51138.5
2014,KS,20,25,20025,KANSAS,CLARK                         ,Wheat,62,Hot Wind,1575
2014,KS,20,25,20025,KANSAS,CLARK                         ,Wheat,62,Hot Wind,13006.5
2014,KS,20,27,20027,KANSAS,CLAY                          ,Soybeans,62,Hot Wind,5490
2014,KS,20,29,20029,KANSAS,CLOUD                         ,Corn,62,Hot Wind,4131
2014,KS,20,29,20029,KANSAS,CLOUD                         ,Corn,62,Hot Wind,1932
2014,KS,20,29,20029,KANSAS,CLOUD                         ,Corn,62,Hot Wind,2787
2014,KS,20,29,20029,KANSAS,CLOUD                         ,Corn,62,Hot Wind,630
2014,KS,20,33,20033,KANSAS,COMANCHE                      ,Wheat,61,Wind/Excess Wind,57284
2014,KS,20,33,20033,KANSAS,COMANCHE                      ,Wheat,61,Wind/Excess Wind,849
2014,KS,20,33,20033,KANSAS,COMANCHE                      ,Wheat,61,Wind/Excess Wind,25092.5
2014,KS,20,33,20033,KANSAS,COMANCHE                      ,Wheat,62,Hot Wind,26126
2014,KS,20,33,20033,KANSAS,COMANCHE                      ,Wheat,62,Hot Wind,37604.5
2014,KS,20,33,20033,KANSAS,COMANCHE                      ,Wheat,62,Hot Wind,16831
2014,KS,20,33,20033,KANSAS,COMANCHE                      ,Soybeans,61,Wind/Excess Wind,6518
2014,KS,20,39,20039,KANSAS,DECATUR                       ,Wheat,61,Wind/Excess Wind,4166.8
2014,KS,20,39,20039,KANSAS,DECATUR                       ,Wheat,61,Wind/Excess Wind,19641
2014,KS,20,39,20039,KANSAS,DECATUR                       ,Wheat,61,Wind/Excess Wind,44359
2014,KS,20,39,20039,KANSAS,DECATUR                       ,Corn,62,Hot Wind,21.91
2014,KS,20,39,20039,KANSAS,DECATUR                       ,Corn,62,Hot Wind,14529
2014,KS,20,41,20041,KANSAS,DICKINSON                     ,Wheat,61,Wind/Excess Wind,8325.2
2014,KS,20,41,20041,KANSAS,DICKINSON                     ,Wheat,61,Wind/Excess Wind,2937.4
2014,KS,20,41,20041,KANSAS,DICKINSON                     ,Wheat,61,Wind/Excess Wind,17728
2014,KS,20,41,20041,KANSAS,DICKINSON                     ,Wheat,61,Wind/Excess Wind,6661.6
2014,KS,20,41,20041,KANSAS,DICKINSON                     ,Wheat,61,Wind/Excess Wind,2722.9
2014,KS,20,41,20041,KANSAS,DICKINSON                     ,Wheat,61,Wind/Excess Wind,4022.5
2014,KS,20,41,20041,KANSAS,DICKINSON                     ,Wheat,61,Wind/Excess Wind,36207.4
2014,KS,20,41,20041,KANSAS,DICKINSON                     ,Wheat,61,Wind/Excess Wind,12732.1
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Wheat,61,Wind/Excess Wind,437
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Wheat,61,Wind/Excess Wind,4051.81
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Wheat,61,Wind/Excess Wind,6056.8
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Wheat,61,Wind/Excess Wind,1088.78
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Wheat,62,Hot Wind,886.4
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Wheat,62,Hot Wind,68472.2
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Wheat,62,Hot Wind,9085.2
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Corn,61,Wind/Excess Wind,1280
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Corn,61,Wind/Excess Wind,639
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Corn,62,Hot Wind,3288
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Corn,62,Hot Wind,10029.6
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Corn,62,Hot Wind,9006
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Soybeans,62,Hot Wind,2571.8
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Soybeans,62,Hot Wind,2104.2
2014,KS,20,47,20047,KANSAS,EDWARDS                       ,Soybeans,62,Hot Wind,4029
2014,KS,20,51,20051,KANSAS,ELLIS                         ,Wheat,62,Hot Wind,14293.2
2014,KS,20,51,20051,KANSAS,ELLIS                         ,Corn,62,Hot Wind,850.5
2014,KS,20,53,20053,KANSAS,ELLSWORTH                     ,Wheat,61,Wind/Excess Wind,12154.5
2014,KS,20,53,20053,KANSAS,ELLSWORTH                     ,Wheat,61,Wind/Excess Wind,2530
2014,KS,20,53,20053,KANSAS,ELLSWORTH                     ,Wheat,61,Wind/Excess Wind,2265
2014,KS,20,53,20053,KANSAS,ELLSWORTH                     ,Wheat,62,Hot Wind,12366
2014,KS,20,53,20053,KANSAS,ELLSWORTH                     ,Wheat,62,Hot Wind,8189.6
2014,KS,20,53,20053,KANSAS,ELLSWORTH                     ,Soybeans,62,Hot Wind,2215
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,9325.3
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,59654.4
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,1618.2
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,469
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,1443.6
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,686.4
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,28625.76
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,2265
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,38036.6
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,9920.4
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,1408.75
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,5201
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,61,Wind/Excess Wind,19242.52
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,62,Hot Wind,4713
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,62,Hot Wind,15633
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,62,Hot Wind,808
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,62,Hot Wind,3699
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,62,Hot Wind,40434
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,62,Hot Wind,9439.5
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,62,Hot Wind,-208
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,62,Hot Wind,520
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Wheat,62,Hot Wind,24949
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Corn,61,Wind/Excess Wind,54898
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Corn,61,Wind/Excess Wind,40432
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Corn,62,Hot Wind,204656
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Corn,62,Hot Wind,54656.05
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Corn,62,Hot Wind,111403
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Corn,62,Hot Wind,22129.25
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Corn,62,Hot Wind,32397.8
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Soybeans,62,Hot Wind,86
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Soybeans,62,Hot Wind,8743.5
2014,KS,20,55,20055,KANSAS,FINNEY                        ,Soybeans,62,Hot Wind,10686.5
2014,KS,20,57,20057,KANSAS,FORD                          ,Wheat,61,Wind/Excess Wind,74437.4
2014,KS,20,57,20057,KANSAS,FORD                          ,Wheat,61,Wind/Excess Wind,11475.2
2014,KS,20,57,20057,KANSAS,FORD                          ,Wheat,61,Wind/Excess Wind,2970
2014,KS,20,57,20057,KANSAS,FORD                          ,Wheat,61,Wind/Excess Wind,330
2014,KS,20,57,20057,KANSAS,FORD                          ,Wheat,62,Hot Wind,12688.6
2014,KS,20,57,20057,KANSAS,FORD                          ,Wheat,62,Hot Wind,37412
2014,KS,20,57,20057,KANSAS,FORD                          ,Corn,61,Wind/Excess Wind,3368
2014,KS,20,57,20057,KANSAS,FORD                          ,Soybeans,62,Hot Wind,3155
2014,KS,20,57,20057,KANSAS,FORD                          ,Soybeans,62,Hot Wind,6156
2014,KS,20,57,20057,KANSAS,FORD                          ,Soybeans,62,Hot Wind,5432
2014,KS,20,57,20057,KANSAS,FORD                          ,Soybeans,62,Hot Wind,42103
2014,KS,20,63,20063,KANSAS,GOVE                          ,Wheat,61,Wind/Excess Wind,1361
2014,KS,20,63,20063,KANSAS,GOVE                          ,Wheat,61,Wind/Excess Wind,58997
2014,KS,20,63,20063,KANSAS,GOVE                          ,Wheat,61,Wind/Excess Wind,3349
2014,KS,20,63,20063,KANSAS,GOVE                          ,Wheat,61,Wind/Excess Wind,2864.4
2014,KS,20,63,20063,KANSAS,GOVE                          ,Corn,62,Hot Wind,46905.28
2014,KS,20,63,20063,KANSAS,GOVE                          ,Corn,62,Hot Wind,65267.5
2014,KS,20,63,20063,KANSAS,GOVE                          ,Sunflowers,61,Wind/Excess Wind,2605
2014,KS,20,65,20065,KANSAS,GRAHAM                        ,Wheat,61,Wind/Excess Wind,3136.2
2014,KS,20,65,20065,KANSAS,GRAHAM                        ,Wheat,61,Wind/Excess Wind,9612.4
2014,KS,20,65,20065,KANSAS,GRAHAM                        ,Wheat,61,Wind/Excess Wind,15767
2014,KS,20,65,20065,KANSAS,GRAHAM                        ,Wheat,61,Wind/Excess Wind,11187.8
2014,KS,20,65,20065,KANSAS,GRAHAM                        ,Wheat,62,Hot Wind,5008
2014,KS,20,65,20065,KANSAS,GRAHAM                        ,Wheat,62,Hot Wind,3574
2014,KS,20,65,20065,KANSAS,GRAHAM                        ,Corn,61,Wind/Excess Wind,8213.38
2014,KS,20,65,20065,KANSAS,GRAHAM                        ,Corn,62,Hot Wind,13050
2014,KS,20,65,20065,KANSAS,GRAHAM                        ,Soybeans,62,Hot Wind,6974.55
