yrmo,fips,year,month,st_abb,st_code,state,co_code,co_name,crop_name,crop_code,col_des,col_code,indemnity
201906,20003,2019,6,KS,20,KANSAS,3,ANDERSON,WHEAT,11,WIND/EXCESS WIND,61,6063.9
201907,20007,2019,7,KS,20,KANSAS,7,BARBER,WHEAT,11,HOT WIND,62,1251.0
201906,20007,2019,6,KS,20,KANSAS,7,BARBER,COTTON,21,WIND/EXCESS WIND,61,8664.5
201909,20007,2019,9,KS,20,KANSAS,7,BARBER,CORN,41,WIND/EXCESS WIND,61,1888.0
201908,20007,2019,8,KS,20,KANSAS,7,BARBER,CORN,41,WIND/EXCESS WIND,61,1198.0
201910,20009,2019,10,KS,20,KANSAS,9,BARTON,CORN,41,WIND/EXCESS WIND,61,1993.0
201908,20009,2019,8,KS,20,KANSAS,9,BARTON,CORN,41,HOT WIND,62,3432.0
201910,20009,2019,10,KS,20,KANSAS,9,BARTON,GRAIN SORGHUM,51,HOT WIND,62,123.0
201906,20013,2019,6,KS,20,KANSAS,13,BROWN,SOYBEANS,81,HOT WIND,62,531.0
201906,20015,2019,6,KS,20,KANSAS,15,BUTLER,CORN,41,WIND/EXCESS WIND,61,1131.7
201907,20015,2019,7,KS,20,KANSAS,15,BUTLER,CORN,41,HOT WIND,62,9474.5
201911,20015,2019,11,KS,20,KANSAS,15,BUTLER,GRAIN SORGHUM,51,WIND/EXCESS WIND,61,1656.0
201907,20015,2019,7,KS,20,KANSAS,15,BUTLER,SOYBEANS,81,HOT WIND,62,1616.6
201910,20023,2019,10,KS,20,KANSAS,23,CHEYENNE,CORN,41,WIND/EXCESS WIND,61,-1670.0
201910,20023,2019,10,KS,20,KANSAS,23,CHEYENNE,CORN,41,WIND/EXCESS WIND,61,431285.09
201911,20023,2019,11,KS,20,KANSAS,23,CHEYENNE,CORN,41,WIND/EXCESS WIND,61,11079.0
201909,20023,2019,9,KS,20,KANSAS,23,CHEYENNE,CORN,41,WIND/EXCESS WIND,61,136296.71
201910,20023,2019,10,KS,20,KANSAS,23,CHEYENNE,DRY BEANS,47,WIND/EXCESS WIND,61,4931.0
