Sum of Indemnity Amount,,,,,,,,,,,,
FIPS,1,2,3,4,5,6,7,8,9,10,11,12
20001,,,,269789.29,1322065.08,376616.5,145026.25,2926.5,130834,13675.25,16051.13,
20003,,,26321,122118,1156950.49,491971.6,906178.3,316139.9,17480,29518.25,56068.21,43637
20005,1803,,79587,124722,570893.2,656655.9,169168.9,43120,55924,966,1977,4688
20007,4846.5,5903,,101766,281227.8,328581.41,96455.5,37700.5,45834,1919,10556,2191.29
20009,,4770,55563,344629.3,1513160.71,766413.09,329527.2,180720.46,47804,21156,2887.09,11699
20011,39534,,79058,61130.28,617265.97,187439,253998,51098,30565,110732,145105.75,20440
20013,2622,2738,1335,45969,520947.48,392395.5,86037,747009.25,3381,15972,29436.77,7338
20015,605,,55176,96704.39,1962809.23,537634.73,123399.5,24572.3,17434.4,73170.15,81388.3,30559
20017,,,17452,3361,709951.16,240582.27,73468.49,8997,,432,23437.08,147511
20019,2579,24722,1379,12678.93,30403.73,41536.93,120192.25,7918.5,-1083,2169,11238.66,
20021,86183,20748,126,165790.62,825267.24,921327,322154,42708,36316,47486,126641.14,77278
20023,,18032,,15379,43234,102902.4,69249.6,51312.8,150438.71,450297.09,16847.4,10266
20025,,,,,167476,60469,74062.31,26339.52,920,26014.75,4053.42,42531
20027,4179,3868,28835,70735.4,1156134.27,1067177.3,363327.53,33251,63821,103462,57857,19080
20029,,,14691,99223.2,472889.55,384956.25,387376.34,13450,2072,15466.6,2026,1878
20031,,,,127351.3,1320564.53,592666.2,502783.55,343707.32,3636,14455,58818.1,6426
20033,,3351,,37837,13973.2,34686,297769.36,48140,15374,11441.53,14012.11,5389
20035,10113,4542,28633,191618.32,2278324.36,743943.56,148036.37,78144.15,74897.05,48621.2,37515.19,15309
20037,19591,,29747,324712.86,1688269.06,1006422.18,473794,51512,150003,42858,80327.9,34750
20039,,8089,,56552,130369.2,95708.2,117368.4,967269.15,83144.8,275365.6,87328.25,46824
20041,2478,4156,5831.37,43988,686613.6,829936.1,867034.43,83027,1878,21132,3596,8619
20043,,,303376,643050.5,2120209.85,1112251.25,92708,427033.4,11681,187701,162,30857
20045,5126,,19585,48181,188995.05,366917.95,64796.12,41341.5,3143,34050,32964.38,19078
20047,,6023,6141,144511.9,575504.9,674941.4,169622.51,262443.4,58046,1547,5533.89,442
20049,1292,,5674,7043,83415,85451.8,136155.25,23556,9977,41203,15298.2,3443.75
20051,107.75,,3031,72608.1,233757.6,131044.5,195726.21,192400.6,1245,8453.4,3489,
20053,2929,2621,138320.4,115033,496194.93,496066.44,262090.6,35430.1,17929.1,59026.1,1247.73,
20055,,,,36899,77475.5,132272,174634.25,841631.05,93277,197051,20219.2,46683
20057,19462,9323.5,126,1920,89656,1275696.8,239982.34,233150.76,246371,516798,1818.1,11642
20059,,301.62,5246.5,108281.6,432299.91,466997.64,267665.65,338243.48,36376.8,2718,84076,38432
20061,,,,32309,122479.26,84529,65988.3,33149,5348,,809.44,48
20063,10850,972.8,,34073.17,180605,570740.3,182318.43,630930.77,105599.77,121091.5,24984.18,36711
20065,,,152420,474151.5,1124553,310989,92789.5,587882.4,50381,177003.5,27818,178434
20067,,8178,,53804.6,50345.74,1400012.3,214164.05,341631.3,118413.2,166115.2,14184.61,26787
20069,,102485.78,450.25,3730.72,319535,6084143.2,411640.51,970241.1,90359.98,284956,89434.71,46918
20071,,,,12769,576923.5,112563.25,457493.82,179627,162863.25,9269,17435.18,13719
20073,,,10682,14606.33,338578.64,208250.06,276108.84,14020.5,22484,-36496,15779.63,17082
20075,,,,,105438,227985,208867.7,77887.5,24076,36618,8463.8,37708
20077,620,,,286786.1,1686201.82,1084103.71,343833.88,88292.97,22771.59,13481.2,58533.63,1263
20079,12232,67056,14173,256480.83,1854868.69,1154581.97,837205.65,83970.11,31495,86730,74581.41,71968.74
20081,30564.6,1356,,5048.31,271963,1235761.99,183290.64,109721.9,24344.45,215,1168.5,7478.51
20083,462,1380,15145,2673.25,136721.65,94411.1,219057.85,146801.6,7563.75,14827,38488.9,4505
20085,,,3253.03,83599,384414.26,381290,60258.97,29995,9862,,3789.74,
20087,,,147129.5,74739.25,381998.9,730675.54,178479.7,83036.5,13204,17307,2610.31,1378
20089,6876.5,30889,23356.4,333119.5,692554.08,3461666.53,361376.64,26024.21,846,6688,18357.54,
20091,,,6560,188752,101603,71730,69567,,,,,5656
20093,,,,24839,22333,254376,43029,252500,108726,122139,2538,142199
20095,49570,34735,3088,166838.06,1174651.55,637608.85,462813.83,218902.9,50503,41078.7,14695.29,14204.85
20097,,,,4622,509991.2,168083.8,30365,26970,19446,18728,11191,
20099,2600,86277,143861,310295.67,1475363.86,1085546,196411.5,84474.8,57205,64123,38390.17,32993
20101,335.1,,,26421.5,177758.8,38671,80079.4,445846.62,97218,128647.8,48054.78,13436
20103,,,191106,77969,584340.8,986354.2,166860,39327,11804,72862,5006,9188
20105,12116.75,40640,,17762.6,184781.5,384340.9,193414.05,50830.5,25036.5,84246.1,12565,34560
20107,,,6753,108091.63,1087612.62,241851.5,476788,925696.4,128592,42750.9,35228.95,3601
20109,,,,250217.04,196833.5,1512890.5,82893.96,162785,112209,45062,17801,4357
20111,,,2784,153918,964543.52,661276.13,330850,275402.8,88556,77793,36601.55,26702
20113,35992,30386,197950.42,208325.6,1734324.4,849369,1394003.06,146153.8,51907.2,125200,12231.02,54667
20115,30489.61,23753.5,106045.5,58804.87,911192.44,1146412.57,548220.49,37900,44284,61575,12025.02,151709
20117,73326.3,,116775.2,407511,2219976.8,941921.6,634238.7,92735.6,528,7276,41996,14147
20119,,,,416,227930.63,250980.5,18753.87,203609.25,41497,31332,3653.75,2992
20121,2233,,111530,245462,321607,540889,330550,505505,40774,80310,32685,9294
20123,3056,37475,9776,75502.69,466681.26,342038.2,181074.45,45041.5,8696,24025.8,12291.5,2866
20125,41846,113961,6447,27933.9,2041895.09,628130.3,601256.38,43884.2,17619.75,7491.6,90614.88,13855.25
20127,17863.96,,15536.36,2430.1,178520.1,201378.71,52181.68,23183,5892,,6108.09,6142
20129,,,,226,89066.35,667553.35,206917.05,494454.5,102779.7,19324.95,70537.1,2219
20131,193.5,,4800,36154.5,423477.9,539732.75,111656.1,70601.25,47366,,44121,2626
20133,17597,,,144739.5,1297677.3,749084.85,339567.25,41679,4036.75,54459,57165.35,21308
20135,67666.18,20213.99,33255,43399,281747.89,109877.9,129589.92,493978.74,47190.72,138417.5,12974.01,12132
20137,,,2188,98856.5,534082,306314.72,61544,70793,33764,181141,25366.78,12381
20139,53244.5,,5603.5,20467,1105022.75,361272.75,307565.86,192531,9800,17390,8856.64,14476
20141,70972.84,,13476.3,30046.54,613335.35,160378.82,282560.15,146853.9,114986,93437.1,12795,214
20143,,81141.2,14411,78572.59,504470.35,311917.4,336178.37,20759,35563,111274,23128.21,4553
20145,,,35022,220668.9,1999362.98,490687.8,310936.17,303185.9,25730.19,80011,21092.11,12767
20147,,,,26985,49230.7,32257,31309.3,36112.4,23857.6,34914,3775,18744
20149,,,5458,19169,273497.8,230755.2,249785.5,4305,5886,,2358.5,765
20151,31256,,46652,28409,2659231.57,1190462.05,305375.56,199956.7,178157.4,17468,39293.64,5508.98
20153,8966,,19554.4,54666.5,815962,1456148.15,119791.95,411465.6,14738.6,409847.3,9342.5,10349
20155,133218.88,44086.58,70272.1,1110416.73,3337101.07,2537204.95,1049645.41,417570.93,155642.06,152943.31,71911.89,92509
20157,13733,7559,120103,25757.5,539668.1,510176.2,586891.15,54594,61654,59050.3,5339,16287
20159,160592.5,17920,173879,585986.9,2526353.88,1937221.11,906416.22,307865.55,29245.55,264483,28869.19,38344
20161,16748,,67897.5,31258,435424,207363,67469.85,26547,38155,4236,6289.15,1077
20163,1329,,28138,32763,281356.14,412342.6,154870.36,201131.2,100327,75569.7,2391,22933
20165,13715.5,,,102097.1,763834.8,135029,193970.1,113100.65,16831.62,31026.35,2283.78,
20167,,4832,7977,47196.5,229700.5,314965.19,207656.95,90912,49624,46941.3,129.31,
20169,14793.8,49865,17956.5,138470,1219437.7,916287.55,634606.72,77305.6,53733,33081.55,2953.79,10779
20171,,2154,20411,53960.46,67928.98,292907.32,176133.08,352695,24956,63474.87,4333.66,
20173,20222.2,718,25048.2,133867.98,2457326.85,992917.58,703321.88,359744.93,43053.73,31112.66,88225.12,9460
20175,,,,104132,26581.4,599238,40236.6,288440,32913,16931,,7791
20177,,,26053,66975,215200.52,286984.5,98205.6,42600,,5731,34111.38,2356
20179,,,3443.5,261684.92,885091.08,1712427,205511.5,658532.5,59761,1203197,44588,10449
20181,,,12279.8,33633,257585.4,499764.15,150411.22,320833.5,69696,203126.5,6666.23,13889
20183,,,,11965.2,200982.5,69255,55161.32,88022,157303,23156,365.98,296
20185,,5948,105052,836780.75,1705817.72,713272.43,292795.59,195786.66,41736,102420,30090.6,24229
