Month,FIPS,Sum of Indemnity Amount
1,20005,1803
1,20007,4846.5
1,20011,39534
1,20013,2622
1,20015,605
1,20019,2579
1,20021,86183
1,20027,4179
1,20035,10113
1,20037,19591
1,20041,2478
1,20045,5126
1,20049,1292
1,20051,107.75
1,20053,2929
1,20057,19462
1,20063,10850
1,20077,620
1,20079,12232
1,20081,30564.6
1,20083,462
1,20089,6876.5
1,20095,49570
1,20099,2600
1,20101,335.1
1,20105,12116.75
1,20113,35992
1,20115,30489.61
1,20117,73326.3
1,20121,2233
1,20123,3056
1,20125,41846
1,20127,17863.96
1,20131,193.5
1,20133,17597
1,20135,67666.18
1,20139,53244.5
1,20141,70972.84
1,20151,31256
1,20153,8966
1,20155,133218.88
1,20157,13733
1,20159,160592.5
1,20161,16748
1,20163,1329
1,20165,13715.5
1,20169,14793.8
1,20173,20222.2
1,20189,7942.4
1,20191,268203
1,20193,4502
1,20201,41838
1,20205,85621
1,31001,240
1,31003,7452
1,31007,45477
1,31013,1349
1,31019,3358
1,31033,72625.16
1,31045,13746
1,31049,30434.4
1,31061,416
1,31065,14924
1,31069,11739
1,31085,21074
1,31099,11114
1,31105,437
1,31107,30198
1,31111,4939
1,31123,40379
1,31129,4373.5
1,31135,418
1,31139,1238
1,31149,125
1,31157,4986
1,31165,1063.6
1,31181,21321.15
1,38003,1880005
1,38005,168631
1,38007,5582.4
1,38009,469952.85
1,38017,1267930.4
1,38019,199977.6
1,38021,795009.5
1,38023,51009.49
1,38027,9731.75
1,38029,5691
1,38031,81450.05
1,38035,161392.95
1,38039,99904.4
1,38041,111145.2
1,38043,28434
1,38045,457425.75
1,38047,105368.4
1,38057,31121.2
1,38059,166366.5
1,38061,6985.6
1,38063,149821.45
1,38065,62120
1,38067,45683
1,38071,188607
1,38073,15432.5
1,38075,33304.83
1,38077,174870.9
1,38081,27149.2
1,38083,12634
1,38085,3492
1,38087,190611.6
1,38089,43413.2
1,38091,785725.25
1,38093,253787.33
1,38095,2843.4
1,38097,394789.1
1,38101,30764.7
1,38103,71404.04
1,46003,176647.7
1,46005,11174.8
1,46007,1210
1,46009,70122.1
