FIPS,Sum of Indemnity Amount
01001,449806
01003,932222
01005,758456
01007,1270
01009,73494
01011,206814
01013,382144
01015,110717
01017,480746
01019,866594
01021,832802
01025,76871
01027,11106
01029,5069
01031,6088861
01033,841065
01035,278912
01039,3202045
01041,1113652
01043,38292
01045,2447113
01047,1229870
01049,673846
01051,755858
01053,945151
01055,481799
01057,135791
01059,102954
01061,5688933
01063,185309
01065,228170
01067,3846245
01069,6586322
01071,1446711.71
01075,41806
01077,302033
01079,1276991.5
01081,247924
01083,3244182.5
01085,196717
01087,310148
01089,1034655.25
01091,832938
01093,15204
01095,307421
01097,692285
01099,403091
01101,197223
01103,372980
01105,625317
01107,111493
01109,1103639
01111,66860
01113,530192
01115,70224
01117,274880
01119,60786
01121,683508
01123,32922
01125,124551
01127,58478
01129,52763
01131,125478
01133,1692
01999,69251
02240,14310
04001,1174426
04003,1882053.2
04005,4061054
04007,1409336
04009,3042582
04011,41159
04012,1068802
04013,2956076
04015,1778253
04017,4703846
04019,4872576
04021,20667702
04023,639573
04025,884346
04027,443154
05001,2411731
05003,6933118
05005,2436
05007,80328
05009,66602
05011,1308971
05015,28403
05017,11315728
05019,1047649
05021,10377485
05023,5872
05029,1117419
05031,10902555
05033,744052
05035,10997797.44
05037,13920003
05041,10805054.45
05043,3305919
05045,1066314
05047,258169
05049,7319
05055,15374598
05057,67202
05059,339958
05061,3288
05063,3414331
05065,22487
05067,29175460
05069,16664034
05071,168073
05073,2298702
05075,18197594
05077,8942757
05079,9006950
05081,2204672
05083,969283
05085,9022030
05087,20828
05089,184
05091,3592560
05093,11367694
05095,11417025
05099,13898
05105,910576
05107,14101285.35
05109,2972
05111,14876861
05115,1768767
05117,3043444.1
05119,2295455
05121,6228699
05123,5813341
05129,14406
05131,321138
05133,62258
05135,12277
05137,11393
05139,9319
05141,34
05143,2669
05145,6087940
05147,9794191
05149,934614
05999,2414
06001,174766
06005,316726
06007,12683489
06009,128408
06011,6322660
06013,1440846
06017,57170
06019,45638294.77
06021,3555871
06023,307572
06025,2032531.3
06029,49414346.66
06031,7485808
06033,3941697
06035,1396108
06037,7711
06039,11854920.25
06041,99896
06043,56091
06045,2547580
06047,12388394
06049,2509170
06051,4991389
