yrmo,fips,indemnity
2014-01-01,20007,943.0
2014-01-01,20033,25941.5
2014-01-01,20039,64000.0
2014-01-01,20055,85207.8
2014-01-01,20067,306552.19
2014-01-01,20071,305.55
2014-01-01,20075,154955.54
2014-01-01,20081,93733.5
2014-01-01,20093,13107.0
2014-01-01,20101,3165.6
2014-01-01,20109,18877.2
2014-01-01,20113,436.2
2014-01-01,20119,52995.0
2014-01-01,20123,2503.0
2014-01-01,20135,55653.0
2014-01-01,20145,26021.5
2014-01-01,20153,99746.0
2014-01-01,20175,1236.24
2014-01-01,20181,110170.4
2014-01-01,20185,1302.0
2014-01-01,20193,82899.63
2014-01-01,20199,13521.0
2014-01-01,20203,857.45
2014-01-01,31007,165562.0
2014-01-01,31013,42770.0
2014-01-01,31033,288387.36
2014-01-01,31045,44791.0
2014-01-01,31049,24170.0
2014-01-01,31069,2036.0
2014-01-01,31095,10142.0
2014-01-01,31101,17009.9
2014-01-01,31105,59580.2
2014-01-01,31123,147860.2
2014-01-01,31157,2867.9
2014-01-01,31161,1116.0
2014-02-01,20007,15950.0
2014-02-01,20009,11840.1
2014-02-01,20041,11262.6
2014-02-01,20053,14684.5
2014-02-01,20055,3026.95
2014-02-01,20057,330.0
2014-02-01,20067,53791.61
2014-02-01,20069,1190.1
2014-02-01,20075,38564.8
2014-02-01,20079,1432.0
2014-02-01,20081,2194.0
2014-02-01,20093,65990.92
2014-02-01,20115,7919.4
2014-02-01,20119,5023.0
2014-02-01,20129,22020.0
2014-02-01,20159,3630.2
2014-02-01,20165,4513.2
2014-02-01,20175,34137.63
2014-02-01,20185,3521.0
2014-02-01,20187,20292.0
2014-02-01,20189,13846.439999999999
2014-02-01,20193,7103.5
2014-02-01,20199,3897.0
2014-02-01,20203,30480.34
2014-02-01,31007,2855.0
2014-02-01,31013,4130.6
2014-02-01,31033,52288.9
2014-02-01,31045,3279.0
2014-02-01,31049,83856.0
2014-02-01,31063,17140.8
2014-02-01,31105,25420.5
2014-02-01,31113,2570.4
2014-02-01,31123,2209.5
2014-02-01,31161,332.5
2014-02-01,31169,4031.5
2014-03-01,20023,874.5
2014-03-01,20033,83410.0
2014-03-01,20039,4166.8
2014-03-01,20041,64619.5
2014-03-01,20047,437.0
2014-03-01,20053,2265.0
2014-03-01,20055,54285.88
2014-03-01,20063,60358.0
2014-03-01,20065,17898.0
2014-03-01,20067,631096.6499999999
2014-03-01,20069,16839.0
2014-03-01,20071,42140.9
2014-03-01,20075,558445.77
2014-03-01,20077,5685.9
2014-03-01,20081,120816.05
2014-03-01,20083,9376.0
2014-03-01,20093,80618.2
2014-03-01,20095,11089.2
2014-03-01,20097,19517.5
2014-03-01,20101,1966.0
2014-03-01,20109,1580.5
2014-03-01,20117,34134.0
2014-03-01,20119,114825.98000000001
2014-03-01,20129,705356.5700000001
2014-03-01,20135,2506.0
2014-03-01,20145,9001.5
2014-03-01,20151,48748.73
2014-03-01,20153,57121.0
2014-03-01,20159,15166.5
2014-03-01,20163,43208.8
2014-03-01,20165,5649.0
2014-03-01,20167,9308.8
2014-03-01,20171,21614.0
2014-03-01,20173,1908.4
2014-03-01,20175,23110.87
2014-03-01,20179,6663.25
2014-03-01,20181,24833.4
2014-03-01,20185,3516.0
2014-03-01,20187,231049.19999999998
2014-03-01,20189,196573.15000000002
2014-03-01,20191,13681.5
2014-03-01,20193,79944.0
2014-03-01,20199,8474.0
2014-03-01,20203,17871.0
2014-03-01,31007,26604.0
2014-03-01,31029,11458.0
2014-03-01,31033,51255.75
2014-03-01,31045,13215.0
2014-03-01,31049,11866.0
2014-03-01,31057,30630.5
2014-03-01,31061,10545.0
2014-03-01,31063,125706.5
2014-03-01,31065,155172.7
2014-03-01,31073,10117.8
2014-03-01,31087,10947.5
2014-03-01,31101,98980.5
2014-03-01,31105,114195.65
2014-03-01,31111,17210.5
2014-03-01,31123,1976.4
2014-03-01,31125,602.0
2014-03-01,31135,17801.51
2014-03-01,31145,57532.0
2014-03-01,31161,9126.6
2014-03-01,31165,29026.4
2014-03-01,31169,556.0
2014-03-01,31181,19397.11
2014-04-01,20001,4952.0
2014-04-01,20009,26967.03
2014-04-01,20025,88419.5
2014-04-01,20033,37604.5
2014-04-01,20041,15455.0
2014-04-01,20047,69358.59999999999
2014-04-01,20051,14293.2
2014-04-01,20053,20555.6
2014-04-01,20055,76696.29999999999
2014-04-01,20057,98601.2
2014-04-01,20063,6213.4
2014-04-01,20065,30387.4
2014-04-01,20067,540314.1
2014-04-01,20069,172572.8
2014-04-01,20071,9078.1
2014-04-01,20075,417013.96
2014-04-01,20081,751715.32
2014-04-01,20083,11539.2
2014-04-01,20093,538262.9
2014-04-01,20101,2170.2
2014-04-01,20105,77455.0
2014-04-01,20109,12605.25
2014-04-01,20113,3066.0
2014-04-01,20117,3487.0
2014-04-01,20119,232039.05
2014-04-01,20129,419234.1
2014-04-01,20135,3970.9
2014-04-01,20137,21054.0
2014-04-01,20141,16590.8
2014-04-01,20145,2307.0
2014-04-01,20147,13782.5
2014-04-01,20151,23413.0
2014-04-01,20153,48969.0
2014-04-01,20155,2994.0
2014-04-01,20159,15524.0
2014-04-01,20163,11237.2
2014-04-01,20165,8001.6
2014-04-01,20167,48883.0
2014-04-01,20171,130004.85
2014-04-01,20175,70297.55
2014-04-01,20179,129261.0
2014-04-01,20181,9671.0
2014-04-01,20187,261627.34999999998
2014-04-01,20189,524947.2
2014-04-01,20195,115875.0
2014-04-01,20199,39218.5
2014-04-01,20203,96569.4
2014-04-01,20205,5037.0
2014-04-01,31001,2587.0
2014-04-01,31003,19245.0
2014-04-01,31007,32563.12
2014-04-01,31013,53014.0
2014-04-01,31033,660119.81
2014-04-01,31045,1629.0
2014-04-01,31049,17744.0
2014-04-01,31057,8991.45
2014-04-01,31063,1889.44
2014-04-01,31065,4432.0
2014-04-01,31067,6261.0
2014-04-01,31069,26228.0
2014-04-01,31073,3081.5
2014-04-01,31087,34858.0
2014-04-01,31105,95806.23999999999
2014-04-01,31111,243559.0
2014-04-01,31123,10472.0
2014-04-01,31145,29721.0
2014-04-01,31157,25956.0
2014-04-01,31161,39598.0
2014-04-01,31165,5200.0
2014-04-01,31181,3475.5
2014-05-01,20007,7920.5
2014-05-01,20009,2652.0
2014-05-01,20023,0.0
2014-05-01,20033,16831.0
2014-05-01,20047,15292.8
2014-05-01,20055,43219.0
2014-05-01,20057,44943.0
2014-05-01,20067,144466.0
2014-05-01,20069,210005.2
