Month,FIPS,se_count,Sum of MAGNITUDE,Average of MAGNITUDE,Max of MAGNITUDE
1,20001,1,,,
1,20005,1,,,
1,20006,2,50,50,50
1,20007,2,,,
1,20009,1,,,
1,20011,1,52,52,52
1,20012,1,52,52,52
1,20013,1,,,
1,20014,1,,,
1,20015,1,,,
1,20016,1,,,
1,20017,1,,,
1,20018,2,,,
1,20019,3,,,
1,20020,1,,,
1,20024,1,52,52,52
1,20025,2,52,52,52
1,20026,1,52,52,52
1,20027,2,,,
1,20028,1,,,
1,20029,1,,,
1,20030,1,,,
1,20032,1,,,
1,20033,1,,,
1,20036,1,,,
1,20040,2,52,52,52
1,20041,1,,,
1,20042,1,,,
1,20043,1,,,
1,20044,1,,,
1,20045,1,,,
1,20046,1,,,
1,20047,1,,,
1,20048,2,,,
1,20049,1,,,
1,20051,1,,,
1,20055,1,,,
1,20056,1,,,
1,20057,2,,,
1,20059,1,,,
1,20060,1,,,
1,20063,1,,,
1,20075,1,,,
1,20077,1,,,
1,20078,1,,,
1,20087,1,,,
1,20090,1,50,50,50
1,20102,2,52,52,52
1,20103,2,52,52,52
1,20104,2,52,52,52
1,20105,1,,,
1,31002,1,,,
1,31003,3,,,
1,31006,2,53,53,53
1,31007,2,53,53,53
1,31010,2,50,50,50
1,31011,2,50,50,50
1,31012,2,50,50,50
1,31013,1,,,
1,31014,1,,,
1,31015,2,50,50,50
1,31016,2,50,50,50
1,31017,2,50,50,50
1,31018,2,50,50,50
1,31019,2,105,52.5,53
1,31020,2,51,51,51
1,31026,1,52,52,52
1,31027,1,52,52,52
1,31028,1,53,53,53
1,31029,1,53,53,53
1,31030,2,52,52,52
1,31031,2,53,53,53
1,31032,2,50,50,50
1,31033,2,50,50,50
1,31034,3,101,50.5,51
1,31038,1,52,52,52
1,31039,8,423,52.875,59
1,31042,2,51,51,51
1,31043,2,50,50,50
1,31044,2,50,50,50
1,31045,2,50,50,50
1,31050,1,,,
1,31051,2,50,50,50
1,31052,3,50,50,50
1,31053,2,54,54,54
1,31055,2,52,52,52
1,31059,1,50,50,50
1,31060,1,,,
1,31061,1,,,
1,31062,2,109,54.5,55
1,31064,2,106,53,56
1,31065,1,50,50,50
1,31066,4,58,58,58
1,31067,4,50,50,50
1,31068,4,50,50,50
1,31072,1,,,
1,31073,1,,,
1,31075,2,110,55,58
1,31076,1,,,
1,31077,2,,,
1,31078,2,50,50,50
1,31082,1,,,
1,31084,1,,,
1,31085,1,,,
1,31086,2,,,
1,31087,2,,,
1,31088,2,50,50,50
1,31089,2,50,50,50
1,31090,3,50,50,50
1,31091,3,50,50,50
1,31092,3,50,50,50
1,31093,2,52,52,52
1,31095,1,50,50,50
1,38001,2,54,54,54
1,38002,2,52,52,52
1,38003,2,52,52,52
1,38004,1,,,
1,38005,1,,,
1,38006,4,,,
1,38007,5,,,
1,38008,6,,,
1,38009,2,56,56,56
1,38010,2,52,52,52
1,38011,2,53,53,53
1,38012,1,,,
1,38013,1,,,
1,38014,5,,,
1,38015,5,,,
1,38016,5,,,
1,38017,2,50,50,50
1,38018,2,52,52,52
1,38019,2,37,37,37
1,38020,2,52,52,52
1,38021,2,52,52,52
1,38022,2,52,52,52
1,38023,1,,,
1,38024,5,,,
1,38025,1,,,
1,38026,5,,,
1,38027,5,,,
1,38028,5,,,
1,38029,5,,,
1,38030,5,,,
1,38031,1,53,53,53
1,38032,1,52,52,52
1,38033,2,51,51,51
1,38034,2,50,50,50
1,38035,2,57,57,57
1,38036,1,,,
1,38037,1,,,
1,38038,5,,,
1,38039,5,,,
1,38040,1,52,52,52
1,38041,3,105,52.5,53
1,38042,2,52,52,52
1,38043,1,54,54,54
1,38044,1,,,
1,38045,2,53,53,53
1,38046,2,52,52,52
1,38047,1,,,
1,38048,1,,,
1,38049,5,,,
1,38050,1,,,
1,38051,1,,,
1,38052,5,,,
1,38053,5,,,
1,38054,5,,,
1,46001,1,62,62,62
1,46002,1,56,56,56
1,46003,2,53,53,53
1,46004,2,52,52,52
1,46005,2,,,
1,46006,3,,,
1,46007,2,,,
1,46008,2,,,
1,46009,3,55,55,55
1,46010,2,,,
1,46011,3,,,
1,46012,1,52,52,52
1,46013,1,56,56,56
1,46014,1,56,56,56
1,46015,1,53,53,53
1,46016,2,56,56,56
1,46017,2,,,
1,46018,3,,,
1,46019,3,,,
1,46020,3,,,
1,46021,3,,,
1,46022,3,,,
1,46023,3,,,
1,46024,2,,,
1,46025,2,52,52,52
1,46026,1,58,58,58
1,46027,1,52,52,52
1,46030,1,52,52,52
1,46031,1,60,60,60
1,46032,1,65,65,65
1,46033,1,56,56,56
1,46034,1,61,61,61
1,46035,1,62,62,62
1,46036,1,50,50,50
1,46037,3,56,56,56
1,46038,1,,,
1,46039,1,,,
1,46040,1,,,
1,46041,1,55,55,55
1,46042,1,52,52,52
1,46043,1,58,58,58
1,46044,1,52,52,52
1,46045,2,52,52,52
1,46046,1,52,52,52
1,46047,1,52,52,52
1,46048,2,63,63,63
1,46049,1,55,55,55
1,46050,1,,,
1,46051,1,56,56,56
1,46052,1,,,
1,46053,1,,,
1,46054,1,,,
1,46055,1,,,
1,46056,1,,,
1,46057,1,,,
1,46058,1,,,
1,46059,1,,,
1,46060,1,,,
1,46061,1,,,
1,46062,1,,,
1,46063,1,,,
1,46064,1,,,
1,46065,1,,,
1,46066,1,,,
1,46067,1,,,
1,46068,1,,,
1,46069,1,,,
1,46070,1,,,
1,46071,1,,,
1,46072,1,56,56,56
1,46073,1,56,56,56
1,46074,1,56,56,56
2,20004,1,,,
2,20005,2,,,
2,20006,2,,,
2,20007,2,,,
2,20008,1,,,
2,20009,1,,,
2,20010,1,,,
2,20013,2,,,
2,20014,2,,,
2,20015,1,,,
2,20016,1,,,
2,20017,2,,,
2,20018,2,,,
2,20019,2,,,
2,20020,1,,,
2,20021,3,1,1,1
2,20022,1,,,
2,20023,1,,,
2,20025,1,,,
2,20027,2,,,
2,20028,2,,,
2,20029,1,,,
2,20032,2,,,
2,20033,2,,,
2,20034,1,,,
2,20035,1,,,
2,20041,2,,,
2,20042,2,,,
2,20047,3,,,
2,20048,2,,,
2,20049,2,,,
2,20050,3,,,
2,20051,2,,,
2,20056,1,,,
2,20057,2,,,
2,20058,1,,,
2,20059,1,,,
2,20060,1,,,
2,20067,1,,,
2,20068,1,,,
2,20069,1,,,
2,20070,1,,,
2,20072,1,,,
2,20073,1,,,
2,20082,2,,,
2,20083,2,,,
2,20091,1,,,
2,20093,1,,,
2,20094,1,,,
2,20095,1,,,
2,20096,1,,,
2,20097,1,,,
2,20098,1,,,
2,20099,1,,,
2,20100,1,,,
2,20101,1,,,
2,20104,1,,,
2,20105,1,,,
2,31002,1,,,
2,31003,1,,,
2,31004,2,,,
2,31005,2,,,
2,31011,1,,,
2,31012,1,,,
2,31013,1,,,
2,31014,1,,,
2,31015,2,,,
2,31016,1,,,
2,31017,1,,,
2,31018,1,,,
2,31019,1,,,
2,31021,1,,,
2,31030,1,,,
2,31031,1,,,
2,31032,1,,,
2,31033,2,,,
2,31034,1,,,
2,31039,2,,,
2,31040,2,,,
2,31041,2,,,
2,31042,2,,,
2,31043,2,,,
2,31044,3,,,
2,31045,3,,,
2,31046,2,,,
2,31047,2,,,
2,31048,3,,,
2,31049,3,,,
2,31050,2,,,
2,31051,3,,,
2,31052,3,,,
2,31053,3,,,
2,31055,1,,,
2,31060,1,,,
2,31061,3,,,
2,31062,4,,,
2,31063,3,,,
2,31064,3,,,
2,31065,2,,,
2,31066,2,,,
2,31067,2,,,
2,31068,1,,,
2,31072,2,,,
2,31073,3,,,
2,31074,3,,,
2,31075,3,,,
2,31076,3,,,
2,31077,3,,,
2,31078,2,,,
2,31082,3,,,
2,31083,3,,,
2,31084,3,,,
2,31085,3,,,
2,31086,3,,,
2,31087,3,,,
2,31088,2,,,
2,31089,2,,,
2,31090,1,,,
2,31091,2,,,
2,31092,1,,,
2,31094,2,,,
2,31095,1,,,
2,31096,1,,,
2,38001,1,,,
2,38002,1,,,
2,38003,1,,,
2,38004,1,,,
2,38005,1,,,
2,38006,4,,,
2,38007,4,,,
2,38008,5,,,
2,38009,1,,,
2,38010,1,,,
2,38011,1,,,
2,38012,1,,,
2,38013,1,,,
2,38014,4,,,
2,38015,4,,,
2,38016,5,,,
2,38017,1,,,
2,38018,1,,,
