Yr_Num,Mo_Num,Month_Name,FIPS,Count_StormEvents,Sum_Magnitude,Avg_Magnitude,Max_Magnitude,Magnitude_Rel_Se,Sum_Indemnity
2019,1,,20005,1,0,0,0,,1803
2019,1,,20007,2,0,0,0,,4846.5
2019,1,,20011,1,52,52,52,52,39534
2019,1,,20013,1,0,0,0,,2622
2019,1,,20015,1,0,0,0,,605
2019,1,,20019,3,0,0,0,,2579
2019,1,,20021,,,,,,86183
2019,1,,20027,2,0,0,0,,4179
2019,1,,20035,,,,,,10113
2019,1,,20037,,,,,,19591
2019,1,,20041,1,0,0,0,,2478
2019,1,,20045,1,0,0,0,,5126
2019,1,,20049,1,0,0,0,,1292
2019,1,,20051,1,0,0,0,,107.75
2019,1,,20053,,,,,,2929
2019,1,,20057,2,0,0,0,,19462
2019,1,,20063,1,0,0,0,,10850
2019,1,,20077,1,0,0,0,,620
2019,1,,20079,,,,,,12232
2019,1,,20081,,,,,,30564.6
2019,1,,20083,,,,,,462
2019,1,,20089,,,,,,6876.5
2019,1,,20095,,,,,,49570
2019,1,,20099,,,,,,2600
2019,1,,20101,,,,,,335.1
2019,1,,20105,1,0,0,0,,12116.75
2019,1,,20113,,,,,,35992
2019,1,,20115,,,,,,30489.61
2019,1,,20117,,,,,,73326.3
2019,1,,20121,,,,,,2233
2019,1,,20123,,,,,,3056
2019,1,,20125,,,,,,41846
2019,1,,20127,,,,,,17863.96
2019,1,,20131,,,,,,193.5
2019,1,,20133,,,,,,17597
2019,1,,20135,,,,,,67666.18
2019,1,,20139,,,,,,53244.5
2019,1,,20141,,,,,,70972.84
2019,1,,20151,,,,,,31256
2019,1,,20153,,,,,,8966
2019,1,,20155,,,,,,133218.88
2019,1,,20157,,,,,,13733
2019,1,,20159,,,,,,160592.5
2019,1,,20161,,,,,,16748
2019,1,,20163,,,,,,1329
2019,1,,20165,,,,,,13715.5
2019,1,,20169,,,,,,14793.8
2019,1,,20173,,,,,,20222.2
2019,1,,20189,,,,,,7942.4
2019,1,,20191,,,,,,268203
2019,1,,20193,,,,,,4502
2019,1,,20201,,,,,,41838
2019,1,,20205,,,,,,85621
2019,1,,31001,,,,,,240
2019,1,,31003,3,0,0,0,,7452
2019,1,,31007,2,53,53,53,53,45477
2019,1,,31013,1,0,0,0,,1349
2019,1,,31019,2,105,52.5,53,52.5,3358
2019,1,,31033,2,50,50,50,50,72625.16
2019,1,,31045,2,50,50,50,50,13746
2019,1,,31049,,,,,,30434.4
2019,1,,31061,1,0,0,0,,416
2019,1,,31065,1,50,50,50,50,14924
2019,1,,31069,,,,,,11739
2019,1,,31085,1,0,0,0,,21074
2019,1,,31099,,,,,,11114
2019,1,,31105,,,,,,437
2019,1,,31107,,,,,,30198
2019,1,,31111,,,,,,4939
2019,1,,31123,,,,,,40379
2019,1,,31129,,,,,,4373.5
2019,1,,31135,,,,,,418
2019,1,,31139,,,,,,1238
2019,1,,31149,,,,,,125
2019,1,,31157,,,,,,4986
2019,1,,31165,,,,,,1063.6
2019,1,,31181,,,,,,21321.15
2019,1,,38003,2,52,52,52,52,1880005
2019,1,,38005,1,0,0,0,,168631
2019,1,,38007,5,0,0,0,,5582.4
2019,1,,38009,2,56,56,56,56,469952.85
2019,1,,38017,2,50,50,50,50,1267930.4
2019,1,,38019,2,37,37,37,37,199977.6
2019,1,,38021,2,52,52,52,52,795009.5
2019,1,,38023,1,0,0,0,,51009.49
2019,1,,38027,5,0,0,0,,9731.75
2019,1,,38029,5,0,0,0,,5691
2019,1,,38031,1,53,53,53,53,81450.05
2019,1,,38035,2,57,57,57,57,161392.95
2019,1,,38039,5,0,0,0,,99904.4
2019,1,,38041,3,105,52.5,53,52.5,111145.2
2019,1,,38043,1,54,54,54,54,28434
2019,1,,38045,2,53,53,53,53,457425.75
2019,1,,38047,1,0,0,0,,105368.4
2019,1,,38057,,,,,,31121.2
2019,1,,38059,,,,,,166366.5
2019,1,,38061,,,,,,6985.6
2019,1,,38063,,,,,,149821.45
2019,1,,38065,,,,,,62120
2019,1,,38067,,,,,,45683
2019,1,,38071,,,,,,188607
2019,1,,38073,,,,,,15432.5
2019,1,,38075,,,,,,33304.83
2019,1,,38077,,,,,,174870.9
2019,1,,38081,,,,,,27149.2
2019,1,,38083,,,,,,12634
2019,1,,38085,,,,,,3492
2019,1,,38087,,,,,,190611.6
2019,1,,38089,,,,,,43413.2
2019,1,,38091,,,,,,785725.25
2019,1,,38093,,,,,,253787.33
2019,1,,38095,,,,,,2843.4
2019,1,,38097,,,,,,394789.1
2019,1,,38101,,,,,,30764.7
2019,1,,38103,,,,,,71404.04
2019,1,,46003,2,53,53,53,53,176647.7
2019,1,,46005,2,0,0,0,,11174.8
2019,1,,46007,2,0,0,0,,1210
2019,1,,46009,3,55,55,55,55,70122.1
2019,1,,46013,1,56,56,56,56,23718
2019,1,,46015,1,53,53,53,53,4653
2019,1,,46021,3,0,0,0,,3498
2019,1,,46023,3,0,0,0,,197741.89
2019,1,,46031,1,60,60,60,60,83771
2019,1,,46035,1,62,62,62,62,197531
2019,1,,46037,3,56,56,56,56,16870.5
2019,1,,46039,1,0,0,0,,18324
2019,1,,46043,1,58,58,58,58,272273
2019,1,,46047,1,52,52,52,52,7385
2019,1,,46051,1,56,56,56,56,26105
2019,1,,46053,1,0,0,0,,122610
2019,1,,46055,1,0,0,0,,19080.6
2019,1,,46061,1,0,0,0,,130645
2019,1,,46065,1,0,0,0,,36850
2019,1,,46067,1,0,0,0,,698471
2019,1,,46071,1,0,0,0,,67866.51
2019,1,,46077,,,,,,1401.6
2019,1,,46089,,,,,,18767.6
2019,1,,46091,,,,,,4615
2019,1,,46097,,,,,,161516
2019,1,,46111,,,,,,644768
2019,1,,46115,,,,,,1401
2019,1,,46119,,,,,,3019
2019,1,,46123,,,,,,11057.12
2019,1,,46129,,,,,,16993.25
2019,1,,46135,,,,,,143524
2019,2,,20007,2,0,0,0,,5903
2019,2,,20009,1,0,0,0,,4770
2019,2,,20013,2,0,0,0,,2738
2019,2,,20019,2,0,0,0,,24722
2019,2,,20021,3,1,1,1,1,20748
2019,2,,20023,1,0,0,0,,18032
2019,2,,20027,2,0,0,0,,3868
2019,2,,20033,2,0,0,0,,3351
2019,2,,20035,1,0,0,0,,4542
2019,2,,20039,,,,,,8089
2019,2,,20041,2,0,0,0,,4156
2019,2,,20047,3,0,0,0,,6023
2019,2,,20053,,,,,,2621
2019,2,,20057,2,0,0,0,,9323.5
2019,2,,20059,1,0,0,0,,301.62
2019,2,,20063,,,,,,972.8
2019,2,,20067,1,0,0,0,,8178
2019,2,,20069,1,0,0,0,,102485.78
2019,2,,20079,,,,,,67056
2019,2,,20081,,,,,,1356
2019,2,,20083,2,0,0,0,,1380
2019,2,,20089,,,,,,30889
2019,2,,20095,1,0,0,0,,34735
2019,2,,20099,1,0,0,0,,86277
2019,2,,20105,1,0,0,0,,40640
2019,2,,20113,,,,,,30386
2019,2,,20115,,,,,,23753.5
2019,2,,20123,,,,,,37475
2019,2,,20125,,,,,,113961
2019,2,,20135,,,,,,20213.99
2019,2,,20143,,,,,,81141.2
2019,2,,20155,,,,,,44086.58
2019,2,,20157,,,,,,7559
2019,2,,20159,,,,,,17920
2019,2,,20167,,,,,,4832
2019,2,,20169,,,,,,49865
2019,2,,20171,,,,,,2154
2019,2,,20173,,,,,,718
2019,2,,20185,,,,,,5948
2019,2,,20195,,,,,,31600
2019,2,,20201,,,,,,99
2019,2,,20203,,,,,,195
2019,2,,20205,,,,,,6472
2019,2,,20207,,,,,,18924
2019,2,,31007,,,,,,5328.6
2019,2,,31013,1,0,0,0,,100562.86
2019,2,,31031,1,0,0,0,,212.85
2019,2,,31033,2,0,0,0,,19292.56
2019,2,,31035,,,,,,6989
2019,2,,31041,2,0,0,0,,6632
2019,2,,31045,3,0,0,0,,1596.6
2019,2,,31049,3,0,0,0,,17830.38
2019,2,,31057,,,,,,7141
2019,2,,31065,2,0,0,0,,3229
2019,2,,31069,,,,,,5228
2019,2,,31073,3,0,0,0,,9446
2019,2,,31085,3,0,0,0,,6629
2019,2,,31087,3,0,0,0,,443
2019,2,,31105,,,,,,1853
2019,2,,31111,,,,,,18454.59
2019,2,,31123,,,,,,6702
2019,2,,31125,,,,,,1835
2019,2,,31135,,,,,,39107
2019,2,,31145,,,,,,13587
2019,2,,31161,,,,,,49933
2019,2,,31181,,,,,,9828
2019,2,,38003,1,0,0,0,,3430619.1
2019,2,,38005,1,0,0,0,,385534
2019,2,,38009,1,0,0,0,,8650.2
2019,2,,38013,1,0,0,0,,2238
2019,2,,38015,4,0,0,0,,60437
2019,2,,38017,1,0,0,0,,977442.7
2019,2,,38019,1,0,0,0,,12940.35
2019,2,,38021,1,0,0,0,,959841
2019,2,,38027,6,0,0,0,,96918
2019,2,,38031,2,0,0,0,,294776.2
2019,2,,38035,1,0,0,0,,22466.9
2019,2,,38039,5,0,0,0,,236626.7
2019,2,,38043,1,0,0,0,,18915
2019,2,,38045,,,,,,1510656.6
2019,2,,38047,,,,,,112691
2019,2,,38049,5,0,0,0,,16954.2
2019,2,,38055,,,,,,23068.83
2019,2,,38061,,,,,,4243.16
2019,2,,38063,,,,,,74491.45
2019,2,,38069,,,,,,91769.3
2019,2,,38071,,,,,,943563.8
2019,2,,38073,,,,,,465028
2019,2,,38075,,,,,,32194
2019,2,,38077,,,,,,383153.8
2019,2,,38079,,,,,,183144.2
2019,2,,38081,,,,,,967308.1
2019,2,,38091,,,,,,114421
2019,2,,38093,,,,,,1984758.7
2019,2,,38095,,,,,,102941.4
2019,2,,38097,,,,,,134187.6
2019,2,,38099,,,,,,10246
2019,2,,38101,,,,,,33946
2019,2,,38103,,,,,,41456
2019,2,,46003,2,0,0,0,,19982
2019,2,,46005,2,0,0,0,,431371
2019,2,,46009,3,0,0,0,,364.5
2019,2,,46013,3,0,0,0,,1164197.5
2019,2,,46015,3,0,0,0,,14660.68
2019,2,,46023,4,0,0,0,,2975
2019,2,,46035,2,0,0,0,,105992
2019,2,,46043,3,0,0,0,,1845
2019,2,,46053,,,,,,81788.57
2019,2,,46055,,,,,,56320
2019,2,,46059,,,,,,354855
2019,2,,46061,,,,,,25638
2019,2,,46067,1,0,0,0,,16992
2019,2,,46069,1,0,0,0,,210262
2019,2,,46071,1,0,0,0,,4439
2019,2,,46075,,,,,,12825
2019,2,,46089,,,,,,243802.4
2019,2,,46091,,,,,,153133
2019,2,,46093,,,,,,47204.23
2019,2,,46103,,,,,,11642
2019,2,,46105,,,,,,31275
2019,2,,46107,,,,,,13599
2019,2,,46111,,,,,,5480
2019,2,,46115,,,,,,16524
2019,2,,46119,,,,,,268811
2019,2,,46123,,,,,,71155.35
2019,2,,46125,,,,,,82343
2019,3,,20003,2,50,50,50,50,26321
2019,3,,20005,5,52,52,52,52,79587
2019,3,,20009,,,,,,55563
2019,3,,20011,,,,,,79058
2019,3,,20013,4,116,58,64,58,1335
2019,3,,20015,2,52,52,52,52,55176
2019,3,,20017,7,300,50,50,50,17452
2019,3,,20019,1,0,0,0,,1379
2019,3,,20021,,,,,,126
2019,3,,20027,4,74,74,74,74,28835
2019,3,,20029,3,54,54,54,54,14691
2019,3,,20035,2,2.75,1.375,1.75,1.375,28633
2019,3,,20037,1,0.88,0.88,0.88,0.88,29747
2019,3,,20041,1,63,63,63,63,5831.37
2019,3,,20043,1,0,0,0,,303376
2019,3,,20045,1,0,0,0,,19585
2019,3,,20047,1,0,0,0,,6141
2019,3,,20049,,,,,,5674
2019,3,,20051,,,,,,3031
2019,3,,20053,,,,,,138320.4
2019,3,,20057,,,,,,126
2019,3,,20059,,,,,,5246.5
2019,3,,20065,1,0,0,0,,152420
2019,3,,20069,,,,,,450.25
2019,3,,20073,,,,,,10682
2019,3,,20079,,,,,,14173
2019,3,,20083,,,,,,15145
2019,3,,20085,,,,,,3253.03
2019,3,,20087,1,0,0,0,,147129.5
2019,3,,20089,,,,,,23356.4
2019,3,,20091,,,,,,6560
2019,3,,20095,,,,,,3088
2019,3,,20099,,,,,,143861
2019,3,,20103,,,,,,191106
2019,3,,20107,,,,,,6753
2019,3,,20111,1,0.88,0.88,0.88,0.88,2784
2019,3,,20113,,,,,,197950.42
2019,3,,20115,3,3.25,1.083333333,1.25,1.083333333,106045.5
2019,3,,20117,,,,,,116775.2
2019,3,,20121,,,,,,111530
2019,3,,20123,,,,,,9776
2019,3,,20125,,,,,,6447
2019,3,,20127,,,,,,15536.36
2019,3,,20131,,,,,,4800
2019,3,,20135,,,,,,33255
2019,3,,20137,,,,,,2188
2019,3,,20139,,,,,,5603.5
2019,3,,20141,,,,,,13476.3
2019,3,,20143,1,1,1,1,1,14411
2019,3,,20145,,,,,,35022
2019,3,,20149,1,0.88,0.88,0.88,0.88,5458
2019,3,,20151,,,,,,46652
2019,3,,20153,,,,,,19554.4
2019,3,,20155,,,,,,70272.1
2019,3,,20157,,,,,,120103
2019,3,,20159,,,,,,173879
2019,3,,20161,,,,,,67897.5
2019,3,,20163,,,,,,28138
2019,3,,20167,,,,,,7977
2019,3,,20169,,,,,,17956.5
2019,3,,20171,,,,,,20411
2019,3,,20173,,,,,,25048.2
2019,3,,20177,1,0.88,0.88,0.88,0.88,26053
2019,3,,20179,,,,,,3443.5
2019,3,,20181,,,,,,12279.8
2019,3,,20185,,,,,,105052
2019,3,,20191,,,,,,68612.4
2019,3,,20193,4,0,0,0,,25878
2019,3,,20195,,,,,,5291
2019,3,,20201,2,2,1,1,1,30368
2019,3,,20203,,,,,,2818
2019,3,,20205,,,,,,4849.4
2019,3,,20207,,,,,,38465
2019,3,,20209,,,,,,443941.6
2019,3,,31001,,,,,,28214
2019,3,,31003,7,0,0,0,,903133
2019,3,,31007,1,0,0,0,,6776
2019,3,,31013,,,,,,4107.7
2019,3,,31015,5,0,0,0,,151988.5
2019,3,,31017,2,0,0,0,,8193
2019,3,,31019,7,0,0,0,,195653.5
2019,3,,31021,5,0,0,0,,2329547.08
2019,3,,31023,3,0,0,0,,268298.9
2019,3,,31025,8,55,55,55,55,430143
2019,3,,31027,3,0,0,0,,49491
2019,3,,31029,1,0,0,0,,7029
2019,3,,31033,1,50,50,50,50,69847.18
2019,3,,31035,2,0,0,0,,57248.75
2019,3,,31037,9,62,62,62,62,78299.13
2019,3,,31039,10,214,53.5,59,53.5,223636.13
2019,3,,31041,16,103,51.5,52,51.5,21658
2019,3,,31043,5,50,50,50,50,16754.5
2019,3,,31045,,,,,,44959.64
2019,3,,31047,2,0,0,0,,93125.5
2019,3,,31049,1,0,0,0,,14759
2019,3,,31051,5,50,50,50,50,39014
2019,3,,31053,16,0,0,0,,496315.44
2019,3,,31055,12,0,0,0,,216638.9
2019,3,,31059,2,62,62,62,62,38140
2019,3,,31061,5,102.88,34.29333333,52,34.29333333,243910
2019,3,,31063,2,0,0,0,,73806.48
2019,3,,31065,1,50,50,50,50,103579.17
