Yr_Num,Mo_Num,Month_Name,Count_StormEvents,Magnitude_Rel_Se,Sum_Indemnity
2019,1,January,109,53.26923077,180779.3
2019,2,February,110,1,61459.9
2019,3,March,521,36.11593137,109394.68
2019,4,April,368,23.79884869,71136.91
2019,5,May,1350,19.33371634,706396.6
2019,6,June,1015,25.81697895,2573804.24
2019,7,July,944,35.74138014,6444024.93
2019,8,August,1225,31.03544179,4458371.19
2019,9,September,544,18.06048404,2155064.02
2019,10,October,138,46.52916667,5555337.72
2019,11,November,179,53.25,657101.75
2019,12,December,126,53.5,551148.25
