YRMO,FIPS,EVENT_COUNT
201102,20003,1
201102,20019,1
201102,20035,1
201102,20037,2
201102,20125,1
201102,20173,1
201103,31021,1
201103,31131,2
201104,20001,1
201104,20003,2
201104,20015,7
201104,20017,1
201104,20019,2
201104,20027,1
201104,20031,1
201104,20035,4
201104,20041,1
201104,20059,1
201104,20061,1
201104,20073,9
201104,20087,1
201104,20099,2
201104,20103,2
201104,20107,2
201104,20111,1
201104,20115,1
201104,20117,1
201104,20125,3
201104,20127,2
201104,20139,1
201104,20169,2
201104,20173,3
201104,20177,2
201104,20181,2
201104,20197,2
201104,31011,1
201105,20009,15
201105,20015,5
201105,20019,3
201105,20021,12
201105,20029,1
201105,20033,1
201105,20035,1
201105,20037,1
201105,20041,1
201105,20043,1
201105,20045,2
201105,20049,1
201105,20051,1
201105,20053,4
201105,20055,1
201105,20057,4
201105,20059,1
201105,20069,1
201105,20073,7
201105,20081,1
201105,20083,1
201105,20087,3
201105,20089,2
201105,20091,5
201105,20095,1
201105,20097,1
201105,20099,4
201105,20101,1
201105,20103,2
201105,20105,6
201105,20109,2
201105,20111,3
201105,20113,2
201105,20115,2
201105,20121,1
201105,20123,3
201105,20125,3
201105,20133,4
201105,20139,6
201105,20141,1
201105,20143,1
201105,20145,2
201105,20147,1
201105,20151,6
201105,20155,8
201105,20157,1
201105,20159,1
201105,20165,7
201105,20167,14
201105,20169,1
201105,20171,1
201105,20173,3
201105,20177,5
201105,20181,8
201105,20183,1
201105,20185,2
201105,20191,2
201105,31001,2
201105,31003,1
201105,31009,3
201105,31011,1
201105,31019,4
201105,31021,1
201105,31023,4
201105,31035,1
201105,31037,2
201105,31039,2
201105,31041,1
201105,31043,2
201105,31047,3
201105,31053,2
201105,31059,1
201105,31061,1
201105,31067,3
201105,31073,1
201105,31079,3
201105,31081,4
201105,31089,4
201105,31093,3
201105,31095,1
201105,31097,1
201105,31099,1
201105,31101,4
201105,31125,1
201105,31129,1
201105,31141,5
201105,31143,7
201105,31149,1
201105,31151,1
201105,31153,2
201105,31163,1
201105,31165,2
201105,31167,3
201105,31169,1
201105,31173,2
201105,31175,2
201105,31181,1
201105,31185,1
201106,20001,1
201106,20005,1
201106,20007,2
201106,20011,2
201106,20013,1
201106,20015,27
201106,20017,6
201106,20019,6
201106,20023,1
201106,20025,1
201106,20031,3
201106,20033,1
201106,20035,6
201106,20037,4
201106,20039,2
201106,20041,5
201106,20045,5
201106,20047,3
201106,20049,2
201106,20051,3
201106,20053,5
201106,20055,6
201106,20057,6
201106,20061,2
201106,20063,4
201106,20065,5
201106,20067,8
201106,20069,4
201106,20071,5
201106,20075,5
201106,20079,5
201106,20083,3
201106,20085,1
201106,20087,1
201106,20091,3
201106,20093,8
201106,20095,2
201106,20097,2
201106,20099,1
201106,20101,5
201106,20103,4
201106,20105,11
201106,20109,1
201106,20111,2
201106,20113,14
201106,20115,5
201106,20117,3
201106,20119,2
201106,20121,3
201106,20123,3
201106,20125,2
201106,20127,3
201106,20129,1
201106,20133,1
201106,20135,1
201106,20137,9
201106,20139,1
201106,20141,3
201106,20143,2
201106,20145,3
201106,20147,2
201106,20151,19
201106,20155,7
201106,20157,1
201106,20159,1
201106,20161,1
201106,20163,2
201106,20167,7
201106,20169,5
201106,20171,5
201106,20173,27
201106,20175,2
201106,20179,3
201106,20181,1
201106,20185,1
201106,20187,7
201106,20189,1
201106,20191,2
201106,20193,1
201106,20199,2
201106,20205,1
201106,20207,1
201106,31003,8
201106,31005,3
201106,31007,1
201106,31011,1
201106,31013,2
201106,31017,3
201106,31019,4
201106,31021,4
201106,31023,1
201106,31025,1
201106,31027,5
201106,31029,2
201106,31031,23
201106,31033,10
201106,31039,1
201106,31041,1
201106,31045,4
201106,31047,8
201106,31049,3
201106,31051,2
201106,31053,5
201106,31055,3
201106,31057,2
201106,31061,1
201106,31063,1
201106,31065,5
201106,31067,1
201106,31069,1
201106,31073,1
201106,31077,1
201106,31079,1
201106,31081,1
201106,31083,2
201106,31085,1
201106,31089,2
201106,31093,3
201106,31095,1
201106,31097,1
201106,31099,1
201106,31105,1
201106,31107,2
201106,31109,2
201106,31111,1
201106,31119,3
201106,31121,4
201106,31123,1
201106,31125,1
201106,31127,1
201106,31135,2
201106,31137,1
201106,31139,3
201106,31141,2
201106,31143,1
201106,31145,3
201106,31147,1
201106,31153,1
201106,31155,4
201106,31157,8
201106,31159,2
201106,31161,5
201106,31163,1
201106,31165,2
201106,31167,4
201106,31173,3
201106,31175,1
201106,31177,2
201106,31179,1
201106,31183,3
201106,31185,1
201107,20001,1
201107,20007,3
201107,20009,6
201107,20011,3
201107,20015,7
201107,20017,1
201107,20021,1
201107,20023,5
201107,20029,2
201107,20031,1
201107,20033,1
201107,20035,4
201107,20037,2
201107,20039,7
201107,20041,4
201107,20051,4
201107,20053,2
201107,20057,4
201107,20061,6
201107,20063,2
201107,20065,2
201107,20067,3
201107,20073,1
201107,20081,1
201107,20083,1
201107,20089,5
201107,20091,2
201107,20093,2
201107,20095,2
201107,20097,1
201107,20099,2
201107,20109,5
201107,20111,2
201107,20113,2
201107,20117,3
201107,20119,1
201107,20121,1
201107,20125,1
201107,20127,1
201107,20131,2
201107,20133,3
201107,20135,2
201107,20137,4
201107,20141,1
201107,20143,6
201107,20145,1
201107,20147,2
201107,20149,6
201107,20151,10
201107,20153,3
201107,20155,2
201107,20157,1
201107,20161,4
201107,20163,1
201107,20165,7
201107,20167,4
201107,20169,1
201107,20173,12
201107,20175,1
201107,20177,1
201107,20181,5
201107,20183,1
201107,20187,5
201107,20191,3
201107,20193,2
201107,20195,1
201107,20197,1
201107,20199,1
201107,20201,2
201107,20203,1
201107,20207,1
201107,31001,2
201107,31007,3
201107,31011,2
201107,31013,3
201107,31019,4
201107,31023,1
201107,31025,1
201107,31029,2
201107,31031,1
201107,31033,8
201107,31035,2
201107,31041,2
201107,31045,1
201107,31047,5
201107,31049,1
201107,31051,1
201107,31055,2
201107,31057,6
201107,31059,2
201107,31061,4
201107,31063,1
201107,31065,1
201107,31067,2
201107,31069,1
201107,31075,1
201107,31077,2
201107,31079,5
201107,31085,4
201107,31087,1
201107,31089,2
201107,31091,1
201107,31095,2
201107,31099,1
201107,31109,1
201107,31111,3
201107,31113,1
201107,31119,2
201107,31121,3
201107,31123,4
201107,31125,1
201107,31127,2
201107,31129,2
201107,31131,1
201107,31133,2
201107,31135,1
201107,31137,2
201107,31139,1
201107,31141,1
201107,31143,1
201107,31145,2
201107,31151,2
201107,31155,1
201107,31157,2
201107,31159,2
201107,31161,6
201107,31163,1
201107,31165,2
